Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
Edwards Lifesciences,EW,52.535717,26.13454,-0.254,0.09175,0.0,50873065472.0,Healthcare,0.852,6.568
Elevance Health,ELV,18.167551,13.911853,-0.131,0.11133,0.3034,89122439168.0,Healthcare,0.696,68.953
Emcor,EME,23.374573,20.411175,0.348,0.40348998,0.0405,33086396416.0,Industrials,1.13,13.432
Emerson Electric,EMR,32.80525,20.687666,0.23,0.128,0.4798,83625377792.0,Industrials,1.233,67.677
Entergy,ETR,26.089514,19.984718,-0.019,0.10248999,0.64449996,48738082816.0,Utilities,0.481,186.77
EOG Resources,EOG,11.224124,9.742999,1.094,0.22507,0.314,75652841472.0,Energy,0.272,25.891
EQT Corporation,EQT,11.600928,12.924405,-0.74,0.11078,0.1514,31275802624.0,Energy,0.576,19.595
Equifax,EFX,27.920914,15.628443,0.007,0.14275,0.3726,18664824832.0,Industrials,1.305,120.956
Equinix,EQIX,65.93545,54.637978,0.288,0.10735,1.2677,100777345024.0,Real Estate,0.973,162.217
Erie Indemnity,ERIE,21.692377,17.062813,0.032,0.24808,0.64589995,12499893248.0,Financial Services,0.305,2.56
Essex Property Trust,ESS,42.06386,42.867527,-0.718,0.0771,1.6075,18615324672.0,Real Estate,0.706,122.409
Everest Group,EG,7.921598,6.2734346,-0.115,0.12572,0.1691,14372774912.0,Financial Services,0.277,23.26
Evergy,EVRG,20.300253,17.476336,0.23,0.092539996,0.7004,18394648576.0,Utilities,0.51,160.554
Eversource Energy,ES,17.589611,13.774111,-0.854,0.09016,0.8,25508415488.0,Utilities,0.698,180.7
Exelon,EXC,15.466911,13.846559,-0.002,0.09711,0.6029,43342782464.0,Utilities,0.389,177.362
Expand Energy,EXE,7.542241,10.054946,-0.455,0.14893,0.275,20254265344.0,Energy,0.323,19.207
Expedia Group,EXPE,17.55814,11.417905,1.887,0.89489,0.1107,33528168448.0,Consumer Cyclical,1.25,230.271
Expeditors International,EXPD,27.833818,24.085474,0.515,0.4267,0.23,24820410368.0,Industrials,1.058,26.745
Extra Space Storage,EXR,30.178808,28.455227,0.06,0.06953,1.4305,30172246016.0,Real Estate,1.176,101.674
ExxonMobil,XOM,21.047619,15.155684,1.128,0.12584,0.5251,672462077952.0,Energy,0.175,15.921
"F5, Inc.",FFIV,34.397293,23.899748,0.114,0.1983,0.0,24464642048.0,Technology,1.03,6.546
FactSet,FDS,18.709953,14.384583,-0.096,0.27032,0.2938,10094567424.0,Financial Services,0.711,77.284
Fastenal,FAST,41.88889,34.93752,0.146,0.34334,0.78629994,56238854144.0,Industrials,0.713,10.851
Federal Realty Investment Trust,FRT,22.406063,34.764755,-0.456,0.12550999,0.9131,9695567872.0,Real Estate,0.919,134.114
FedEx,FDX,16.3781,14.556909,-0.043,0.14846,0.3127,71864975360.0,Industrials,1.364,135.697
First Solar,FSLR,12.088835,8.428706,0.233,0.18509,0.0,21059780608.0,Technology,1.733,1.88
FirstEnergy,FE,24.203207,15.345493,0.083,0.09491,0.9626,26189242368.0,Utilities,0.441,200.908
Flex Ltd.,FLEX,41.895756,15.259221,0.52,0.18378,0.0,40083918848.0,Technology,1.654,107.818
Fortinet,FTNT,60.014133,44.957737,0.439,1.17442,0.0,124613926912.0,Technology,1.059,36.194
Fortive,FTV,29.100529,16.933653,0.04,0.07318,0.127,16610937856.0,Technology,0.973,59.283
Fox Corporation (Class A),FOXA,16.783854,11.044809,0.031,0.14291,0.1458,27097194496.0,Communication Services,0.559,64.06
Fox Corporation (Class B),FOX,15.036459,10.050479,0.031,0.14291,0.1458,24276060160.0,Communication Services,0.559,64.06
Franklin Resources,BEN,22.45578,10.379785,1.067,0.07887,0.8912,16771617792.0,Financial Services,1.57,24.805
Freeport-McMoRan,FCX,35.06863,17.243084,0.281,0.14755,0.2941,102732693504.0,Basic Materials,1.401,32.149
Garmin,GRMN,28.282766,24.903135,0.353,0.21886998,0.387,52853166080.0,Technology,0.866,2.513
GE Aerospace,GE,36.97294,34.57791,0.194,0.48231998,0.1958,326074761216.0,Industrials,1.35,113.225
GE HealthCare,GEHC,14.776497,11.853491,0.168,0.19376,0.0323,28966637568.0,Healthcare,0.821,93.965
GE Vernova,GEV,26.966736,37.152172,0.328,0.82577,0.0573,250441465856.0,Industrials,0.967,28.364
Gen Digital,GEN,16.964912,8.771797,0.64,0.41944,0.2924,17365008384.0,Technology,1.215,307.831
Generac,GNRC,47.68736,16.747942,0.92,0.09491,0.0,12252223488.0,Industrials,1.913,49.003
General Dynamics,GD,21.51432,18.994131,0.134,0.17803,0.3768,95520210944.0,Industrials,0.321,35.335
General Motors,GM,36.696426,5.4789844,-0.262,0.03164,0.29459998,74345914368.0,Consumer Cyclical,1.321,202.341
Genuine Parts Company,GPC,512.32,15.422426,-0.098,0.0070700003,16.74,17657077760.0,Consumer Cyclical,0.656,146.415
Global Payments,GPN,40.312798,5.319954,-0.952,0.02428,0.4739,22508439552.0,Industrials,0.785,98.273
Globe Life,GL,11.530585,10.498697,0.197,0.20944999,0.0798,13327230976.0,Financial Services,0.462,55.675
GoDaddy,GDDY,14.481426,8.837905,0.298,4.42861,0.0,12343085056.0,Technology,0.94,57334.33
Goldman Sachs,GS,14.537036,12.724152,0.923,0.16902,0.2625,274283446272.0,Financial Services,1.283,725.381
Halliburton,HAL,17.612566,11.590966,0.161,0.14917,0.35599998,28026505216.0,Energy,0.769,74.186
Hartford (The),HIG,9.102139,9.634813,0.361,0.22061001,0.1602,35725307904.0,Financial Services,0.45,22.33
Healthpeak Properties,DOC,58.085716,145.21428,0.682,0.03039,3.4857998,14412898304.0,Real Estate,0.989,108.653
Henry Schein,HSIC,24.734692,14.143888,0.171,0.088549994,0.0,9455124480.0,Healthcare,0.812,80.733
Hershey Company (The),HSY,23.195354,17.205736,6.31,0.32808998,0.77099997,34115166208.0,Consumer Defensive,0.097,129.821
Hewlett Packard Enterprise,HPE,31.319586,13.216424,4.102,0.10936,0.2874,80656760832.0,Technology,1.442,76.464
Home Depot (The),HD,21.007004,18.719736,0.046,1.0429599,0.648,299286921216.0,Consumer Cyclical,0.955,380.261
Honeywell Technologies,HON,7.9346657,20.772694,2.639,0.46577,0.3614,65435435008.0,Industrials,0.901,185.369
Hormel Foods,HRL,33.596775,13.408174,-0.672,0.042930003,1.8831,11463806976.0,Consumer Defensive,0.315,36.326
Host Hotels & Resorts,HST,14.657718,20.68985,0.084,0.15558,0.5369,15172826112.0,Real Estate,1.101,85.298
Howmet Aerospace,HWM,49.391396,35.564358,0.33,0.34732,0.1034,91592720384.0,Industrials,1.186,81.368
Hubbell Incorporated,HUBB,26.460629,19.50494,-0.009,0.24444,0.33040002,23611934720.0,Industrials,0.889,141.642
Humana,HUM,36.539265,23.311161,0.271,0.06893,0.3346,46377414656.0,Healthcare,0.745,76.485
Huntington Ingalls Industries,HII,16.251339,13.096382,0.365,0.12968001,0.32700002,10751938560.0,Industrials,0.225,55.252
IBM,IBM,20.368235,17.439816,-0.018,0.34460998,0.5977,216266948608.0,Technology,0.708,188.97
IDEX Corporation,IEX,32.18993,23.241608,0.109,0.12955,0.5165,16492615680.0,Industrials,0.972,47.06
Idexx Laboratories,IDXX,35.955727,30.565063,0.176,0.74211,0.0,40308359168.0,Healthcare,1.538,67.971
Illinois Tool Works,ITW,24.3819,21.72607,0.101,1.04618,0.5833,76730818560.0,Industrials,0.997,334.853
Incyte,INCY,15.9630575,14.102783,0.377,0.30667,0.0,25400053760.0,Healthcare,0.77,0.603
Insulet Corporation,PODD,26.378988,18.234024,3.286,0.26016,0.0,9751200768.0,Healthcare,1.079,66.685
Interactive Brokers,IBKR,35.9881,28.462301,0.353,0.24018998,0.13,154519044096.0,Financial Services,1.349,205.748
Intercontinental Exchange,ICE,21.95904,17.665781,0.142,0.14094,0.2821,87280001024.0,Financial Services,0.934,69.226
Intuit,INTU,18.408623,11.087414,-0.014,0.23596,0.2916,81023287296.0,Technology,0.976,44.34
