"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","8,418.33","8,418.33","8,454.17","8,387.33","","0.31%"
"05/19/2025","8,392.10","8,392.10","8,400.73","8,340.44","","0.07%"
"05/16/2025","8,386.16","8,386.16","8,412.81","8,289.38","","-0.30%"
"05/15/2025","8,411.01","8,411.01","8,492.60","8,395.00","","-0.69%"
"05/14/2025","8,469.64","8,469.64","8,479.36","8,368.76","","1.21%"
"05/13/2025","8,368.76","8,368.76","8,371.16","8,324.54","","0.51%"
"05/12/2025","8,326.19","8,326.19","8,350.78","8,233.12","","1.13%"
"05/09/2025","8,233.12","8,233.12","8,233.12","8,158.89","","0.86%"
"05/08/2025","8,162.87","8,162.87","8,206.03","8,162.87","","-0.13%"
"05/07/2025","8,173.81","8,173.81","8,192.08","8,069.80","","1.29%"
"05/06/2025","8,069.80","8,069.80","8,069.80","7,981.78","","0.62%"
"05/05/2025","8,019.77","8,019.77","8,056.54","8,010.04","","-0.24%"
"05/02/2025","8,039.23","8,039.23","8,041.92","7,953.25","","-0.02%"
"04/30/2025","8,041.14","8,041.14","8,066.62","7,961.56","","-0.23%"
"04/29/2025","8,059.40","8,059.40","8,059.40","7,986.82","","0.91%"
"04/28/2025","7,986.82","7,986.82","8,020.92","7,923.93","","-0.06%"
"04/25/2025","7,991.62","7,991.62","8,015.39","7,978.46","","-0.09%"
"04/24/2025","7,998.60","7,998.60","8,027.97","7,922.51","","0.96%"
"04/23/2025","7,922.51","7,922.51","7,942.31","7,814.36","","1.38%"
"04/22/2025","7,814.36","7,814.36","7,839.78","7,751.38","","0.81%"
"04/21/2025","7,751.38","7,751.38","7,815.25","7,748.28","","-0.82%"
"04/17/2025","7,815.25","7,815.25","7,815.25","7,710.55","","1.36%"
"04/16/2025","7,710.55","7,710.55","7,722.97","7,678.63","","0.20%"
"04/15/2025","7,695.06","7,695.06","7,695.38","7,566.99","","1.62%"
"04/14/2025","7,572.20","7,572.20","7,592.38","7,430.69","","1.90%"
"04/11/2025","7,430.69","7,430.69","7,463.69","7,354.85","","0.79%"
"04/10/2025","7,372.09","7,372.09","7,482.80","7,277.52","","-1.36%"
"04/09/2025","7,473.43","7,473.43","7,473.43","7,137.32","","4.33%"
"04/08/2025","7,163.09","7,163.09","7,360.40","7,151.04","","-1.23%"
"04/07/2025","7,252.56","7,252.56","7,504.21","7,231.87","","-3.35%"
"04/04/2025","7,504.21","7,504.21","7,719.22","7,483.97","","-2.79%"
"04/03/2025","7,719.22","7,719.22","7,729.44","7,604.08","","0.27%"
"04/02/2025","7,698.70","7,698.70","7,717.41","7,662.97","","0.17%"
